,Horsepower
0,145.0
1,62.00000000000001
2,76.0
3,116.0
4,76.0
5,116.0
6,184.0
7,100.0
8,97.0
9,176.0
10,101.0
11,101.0
12,134.0
13,102.0
14,97.0
15,70.0
16,114.99999999999999
17,82.0
18,101.0
19,288.0
20,106.0
21,90.0
22,70.0
23,76.0
24,116.0
25,92.0
26,135.0
27,95.0
28,162.0
29,100.0
30,95.0
31,88.0
32,60.0
33,101.0
34,207.0
35,84.0
36,122.99999999999999
37,175.0
38,111.99999999999999
39,95.0
40,113.99999999999999
41,72.0
42,120.99999999999999
43,145.0
44,68.0
45,116.0
46,85.0
47,110.0
48,111.99999999999999
49,86.0
50,68.0
51,160.0
52,69.0
53,116.0
54,69.0
55,88.0
56,101.0
57,97.0
58,62.00000000000001
59,70.0
60,90.0
61,110.99999999999999
62,110.0
63,160.0
64,68.0
65,68.0
66,88.0
67,155.0
68,116.0
69,95.0
70,113.99999999999999
71,73.0
72,156.0
73,160.0
74,162.0
75,84.0
76,161.0
77,68.0
78,70.0
79,69.0
80,154.0
81,110.99999999999999
82,110.99999999999999
83,102.0
84,95.0
85,68.0
86,120.99999999999999
87,82.0
88,97.0
89,76.0
90,145.0
91,70.0
92,95.0
93,110.0
94,156.0
95,200.0
96,84.0
97,68.0
98,104.0
99,122.99999999999999
100,145.0
101,69.0
102,69.0
103,62.00000000000001
104,182.0
105,95.0
106,207.0
107,70.0
108,110.0
109,116.0
110,152.0
111,68.0
112,68.0
113,78.0
114,160.0
115,69.0
116,88.0
117,102.0
118,85.0
119,55.0
120,207.0
121,155.0
122,92.0
123,143.0
124,68.0
125,62.00000000000001
126,142.0
127,113.99999999999999
128,104.0
129,86.0
130,116.0
131,62.00000000000001
132,262.0
133,52.0
134,82.0
135,69.0
136,152.0
137,161.0
138,102.0
139,56.0
140,86.0
141,70.0
142,86.0
