,Displacement
0,96.99999999999999
1,225.0
2,140.0
3,97.99999999999999
4,173.0
5,108.0
6,97.99999999999999
7,199.99999999999997
8,111.0
9,85.0
10,79.0
11,350.00000000000006
12,86.0
13,79.0
14,119.0
15,304.0
16,134.0
17,225.0
18,250.0
19,305.00000000000006
20,350.00000000000006
21,90.0
22,399.99999999999994
23,318.0
24,156.0
25,199.99999999999997
26,199.99999999999997
27,140.0
28,134.0
29,100.99999999999999
30,307.00000000000006
31,305.00000000000006
32,151.0
33,155.0
34,108.0
35,135.0
36,225.0
37,116.0
38,121.0
39,399.99999999999994
40,250.0
41,171.0
42,318.0
43,96.99999999999999
44,119.0
45,79.0
46,429.0
47,350.00000000000006
48,232.0
49,350.00000000000006
50,232.0
51,134.0
52,199.99999999999997
53,302.0
54,302.0
55,318.0
56,399.99999999999994
57,232.0
58,104.99999999999999
59,151.0
60,383.0
61,304.0
62,399.99999999999994
63,250.0
64,71.0
65,96.99999999999999
66,304.0
67,85.0
68,232.0
69,250.0
70,260.0
71,140.0
72,85.0
73,304.0
74,96.99999999999999
75,318.0
76,121.0
77,318.0
78,85.0
79,122.0
80,305.00000000000006
81,116.0
82,318.0
83,151.0
84,455.0
85,108.0
86,96.99999999999999
87,131.0
88,107.0
89,399.99999999999994
90,119.0
91,318.0
92,250.0
93,250.0
94,360.00000000000006
95,107.0
96,318.0
97,399.99999999999994
98,250.0
99,119.0
100,70.0
101,156.0
102,350.00000000000006
103,302.0
104,122.0
105,399.99999999999994
106,232.0
107,250.0
108,141.0
109,318.0
110,232.0
111,350.00000000000006
112,91.0
113,350.00000000000006
114,135.0
115,250.0
116,302.0
117,350.00000000000006
118,97.99999999999999
119,260.0
120,146.0
121,318.0
122,350.00000000000006
123,302.0
124,71.0
125,350.00000000000006
126,225.0
127,104.99999999999999
128,96.99999999999999
129,151.0
130,115.0
131,108.0
132,122.0
133,302.0
134,104.99999999999999
135,250.0
136,350.00000000000006
137,231.0
138,231.0
139,231.0
140,79.0
141,104.99999999999999
142,97.99999999999999
143,97.99999999999999
144,91.0
145,85.0
146,120.0
147,96.99999999999999
148,360.00000000000006
149,151.0
150,429.0
151,225.0
152,146.0
153,121.0
154,97.99999999999999
155,89.0
156,110.0
157,340.0
158,113.0
159,113.0
160,304.0
161,140.0
162,89.0
163,90.0
164,90.0
165,96.99999999999999
166,197.99999999999997
167,225.0
168,120.0
169,91.0
170,350.00000000000006
171,168.0
172,302.0
173,119.0
174,199.99999999999997
175,81.0
176,318.0
177,89.0
178,140.0
179,232.0
180,76.0
181,135.0
182,181.0
183,156.0
184,120.0
185,351.0
186,120.0
187,151.0
188,145.0
189,120.0
190,318.0
191,183.0
192,163.0
193,455.0
194,140.0
195,198.99999999999997
196,302.0
197,91.0
198,262.0
199,90.0
200,91.0
201,70.0
202,85.0
203,198.99999999999997
204,107.0
205,72.0
206,231.0
207,151.0
208,231.0
209,86.0
210,318.0
211,97.99999999999999
212,199.99999999999997
213,121.0
214,199.99999999999997
215,258.0
216,140.0
217,144.0
218,440.0
219,107.0
220,360.00000000000006
221,156.0
222,318.0
223,122.0
224,455.0
225,121.0
226,351.0
227,88.0
228,112.0
229,96.99999999999999
230,383.0
231,89.0
232,225.0
233,122.0
234,146.0
235,454.0
236,116.0
237,96.99999999999999
238,351.0
239,97.99999999999999
240,104.99999999999999
241,351.0
242,122.0
243,318.0
244,173.0
245,304.0
246,97.99999999999999
247,258.0
248,86.0
249,250.0
250,114.0
251,351.0
252,135.0
253,140.0
254,225.0
255,250.0
256,304.0
257,97.99999999999999
258,168.0
259,258.0
260,116.0
261,70.0
262,119.0
263,96.99999999999999
264,140.0
265,121.0
266,225.0
267,399.99999999999994
268,225.0
269,91.0
270,112.0
271,399.99999999999994
272,350.00000000000006
273,78.0
