,Thermal Distress,Launch Temperature(prediction),Leak-Check Pressure
0,0.0,74.8377261827232,50.0
1,0.0,67.549443639682,200.0
2,0.0,73.4028109252586,50.0
3,0.0,63.127010726349496,100.0
4,2.0,61.91808193722116,200.0
5,0.0,80.35953953144562,50.0
6,0.0,70.59291813229771,200.0
7,0.0,58.92536759417876,50.0
8,2.0,62.58024684301925,200.0
9,1.0,70.55798112221952,200.0
10,0.0,61.3639231809792,200.0
11,0.0,71.38801740080751,50.0
12,1.0,74.04791592733292,200.0
13,1.0,59.78325158112622,200.0
14,1.0,62.97022223038646,200.0
15,0.0,75.43190974392157,50.0
16,1.0,58.21725208458124,200.0
17,0.0,59.93373457816642,50.0
18,1.0,58.07587623166189,200.0
19,0.0,76.01436485027008,200.0
20,0.0,53.85229593644689,100.0
21,0.0,72.77164462586201,100.0
22,0.0,73.04335978464552,200.0
23,0.0,70.98051723765396,200.0
24,0.0,68.49212468569408,200.0
25,1.0,78.37805117149836,50.0
26,0.0,64.38897441452609,100.0
27,0.0,64.45729352409784,200.0
28,0.0,62.415455081623726,200.0
29,1.0,64.75098402841995,200.0
30,2.0,76.84550364259228,200.0
31,0.0,68.31087439154979,200.0
