,Frequency,Angle_of_Attack,Chord_length,Free-stream_velocity(prediction),Suction_side_displacement_thickness
0,800.0,1.5,0.3048,66.7958176110655,0.00336729
1,8000.0,0.0,0.3048,54.62803072256718,0.00310138
2,6300.0,0.0,0.3048,71.3,0.00266337
3,4000.0,1.5,0.3048,71.3,0.00336729
4,2500.0,3.0,0.3048,55.35977243470964,0.00495741
5,2000.0,3.0,0.3048,45.510138431738625,0.00425727
6,800.0,0.0,0.2286,52.405629554234395,0.00229336
7,1000.0,2.0,0.2286,61.83133582636381,0.00293031
8,8000.0,3.0,0.3048,64.844734081439,0.00452492
9,3150.0,0.0,0.2286,60.25000793362808,0.00229336
10,800.0,1.5,0.3048,39.96956623160514,0.00392107
11,500.0,0.0,0.3048,48.78885028851554,0.00310138
12,5000.0,2.0,0.2286,71.3,0.00293031
13,1250.0,1.5,0.3048,62.24821019472655,0.00336729
14,10000.0,0.0,0.3048,50.92582645708734,0.00310138
15,5000.0,3.0,0.3048,56.35286744349223,0.00425727
16,3150.0,0.0,0.3048,71.3,0.00266337
17,250.0,0.0,0.3048,35.141807212713566,0.00310138
18,1000.0,3.0,0.3048,61.519599634661816,0.00425727
19,1000.0,0.0,0.3048,31.7,0.00331266
20,5000.0,0.0,0.3048,61.09907370587413,0.00283081
21,500.0,4.0,0.3048,31.7,0.00579636
22,630.0,0.0,0.2286,31.7,0.00229336
23,1000.0,3.0,0.3048,34.43163751909965,0.00495741
24,3150.0,4.0,0.3048,71.3,0.00497773
25,630.0,0.0,0.3048,55.16248373946724,0.00283081
26,1250.0,4.0,0.3048,40.19078672004067,0.00579636
27,4000.0,0.0,0.2286,49.673601045614255,0.00253511
28,1000.0,0.0,0.2286,51.76135028047126,0.0027238
29,315.0,3.0,0.3048,39.34758648007776,0.00529514
30,1600.0,0.0,0.3048,71.3,0.00283081
31,6300.0,0.0,0.2286,31.7,0.0027238
32,1000.0,1.5,0.3048,64.77535516469243,0.00336729
33,16000.0,0.0,0.2286,71.3,0.00214345
34,8000.0,0.0,0.3048,71.3,0.00266337
35,6300.0,3.0,0.3048,60.40839611190111,0.00425727
36,3150.0,0.0,0.3048,31.7,0.00331266
37,2000.0,3.0,0.3048,48.24627175108066,0.00452492
38,5000.0,1.5,0.3048,31.7,0.00392107
